Player,Team,Conference,GP,MPG,ORtg,USG,eFG%,TS%,ORB%,DRB%,AST%,TO%,FTM,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,BLK%,STL%,FTR,Class,Height,Number,PORPAG,Adj_O_Eff,Foul_rate,Year,ID,Hometown,Recruiting_Rank,A_TO_Rate,Rim_Made,Rim_Missed,Mid_Made,Mid_Missed,Rim%,Mid%,Dunks,Dunks_Attempts,Dunk%,Draft_Spot,DRTG,Adj_DRTG,D_PORPAG,stops,BPM,O_BPM,D_BPM,G_BPM,MPG,OG_BPM,DG_BPM,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,PTS_PG,Position_Advanced,3PT/100
Will McNair Jr.,Kansas St.,B12,22,52.4,99.1,17.1,60.7,60.26,7.1,18.5,5.3,26.3,16,30,0.533,72,116,0.621,1,5,0.2,6.6,1.5,24.8,Sr,6-11,13,0.797021,99.4965,3.7,2024,65448,"Philadelphia, PA",,0.31581078,58,78,14,38,0.7436,0.3684,16,17,0.9412,,95.3256,91.5782,3.01566,104.702,2.50259,-2.77812,5.28071,2.38979,22.6364,-1.30222,3.692,1.3636,3.8182,5.1818,0.5455,0.5909,1.3636,7.4091,C,0.590543
Robert Allen,North Texas,Amer,19,57.1,116.7,17.6,53.7,55.14,18,21.4,9.9,16.9,26,45,0.578,44,81,0.543,0,1,0,3.3,2.7,54.9,Sr,6-8,10,2.07909,115.275,4.5,2024,65469,"Orlando, FL",,1.0454371,39,57,5,24,0.6842,0.2083,10,14,0.7143,,92.0494,90.5896,3.20999,92.8198,7.27117,2.56964,4.70153,4.66434,22.5714,2.06563,2.59872,3.2381,4.2381,7.4762,1.0952,1,0.6667,6.1429,C,0.14879
Emmanuel Dowuona,Tennessee St.,OVC,10,10.3,97.7,11,57.1,59.57,4.4,15,4.6,26.7,6,10,0.6,4,7,0.571,0,0,0,0,0.7,142.9,Sr,6-10,23,-0.156673,83.3461,10.1,2024,65482,"Miami, FL",65.8,0.39989597,2,4,2,3,0.5,0.6667,2,3,0.6667,,106.719,107.505,0.64575,12.7739,-6.19079,-4.68215,-1.50863,-7.34283,7.2308,-7.01284,-0.329997,0.2308,1.1538,1.3846,0.1538,0.0769,0,1.4615,C,0
Jermaine Couisnard,Oregon,P12,22,80.3,109.5,22.9,50,54.02,3.5,13.3,15.1,12.8,70,98,0.714,61,131,0.466,41,114,0.36,0.6,3.1,40,Sr,6-4,5,3.15018,117.311,2.4,2024,65489,"East Chicago, IN",56.6,1.61109754,39,78,22,53,0.5,0.4151,1,1,1,,103.526,100.183,3.4433,133.169,4.53062,3.74711,0.783506,3.9949,32.3182,2.7821,1.2128,0.9545,3.5909,4.5455,2.6364,1.7273,0.1818,14.3182,Combo G,9.25862
Markeese Hastings,Robert Morris,Horz,20,74.7,111.1,23.7,55.5,58.77,11.4,20.9,10.7,19.9,62,86,0.721,99,178,0.556,12,33,0.364,2.8,1.8,40.8,Sr,6-7,0,2.55229,112.514,3,2024,65503,"Grand Rapids, MI",4.8,0.64815644,83,129,16,49,0.6434,0.3265,10,11,0.9091,,108.017,109.446,2.35237,121.22,0.380374,0.609993,-0.229619,1.5373,31.5,2.20046,-0.663162,3.1818,5.3636,8.5455,1.5909,1,0.8636,15.0909,PF/C,2.99892
Josiah Strong,Colorado St.,MWC,17,52.7,118.1,15.2,56.1,58.28,2.7,9.6,13.1,9.7,18,24,0.75,39,51,0.765,14,56,0.25,0.5,1.1,22.4,Sr,6-4,3,2.13736,112.778,2.8,2024,65550,"Brooklyn Park, MN",,3.09071254,24,28,12,19,0.8571,0.6316,2,2,1,,108.517,102.862,2.54135,63.8013,2.74766,2.78055,-0.0328821,1.92689,26.3529,1.37134,0.555555,0.5294,2.1176,2.6471,2,0.4706,0.1176,8.1176,Wing G,7.471
Donovann Toatley,Detroit,Horz,14,27.9,83,32.1,42.2,42.66,1.7,8.7,17.9,15.5,6,11,0.545,30,78,0.385,23,75,0.307,0,2.4,7.2,Sr,5-10,8,0.18395,91.7999,2.7,2024,65554,"Largo, MD",,0.78257957,15,31,15,47,0.4839,0.3191,0,0,,,118.924,119.71,0.762464,39.9236,-8.93673,-3.25437,-5.68236,-5.34571,19.3571,-1.25993,-4.08578,0.2857,1.3571,1.6429,1.2857,0.7857,0,9.6429,Combo G,16.2614
Jose Perez,Arizona St.,P12,22,76.6,103.8,23.2,46.3,53.07,3.1,11,19.3,13.3,95,134,0.709,73,172,0.424,14,31,0.452,1,1.5,66,Sr,6-5,0,2.46146,112.215,2.3,2024,65566,"Bronx, NY",,1.70269949,43,80,30,88,0.5375,0.3409,0,0,,,105.355,101.27,3.16702,108.318,0.580598,0.385984,0.194614,1.31036,30.6364,1.02455,0.285804,0.9091,3.0455,3.9545,2.8636,0.8182,0.2727,12.8636,Combo G,2.58
Vincent Lee,Cal St. Fullerton,BW,18,33.5,115.8,16.7,66.7,66.13,8.2,8.3,4.9,18.5,10,17,0.588,42,63,0.667,0,0,0,2.2,1.8,27,Sr,6-9,13,1.18031,111.895,3.6,2024,65574,"Midlothian, TX",20.4,0.33333333,33,43,9,20,0.7674,0.45,5,5,1,,106.064,106.419,1.2738,42.1502,0.659767,0.0407658,0.619001,1.24706,14.65,0.853413,0.393644,1,1.1,2.1,0.25,0.45,0.3,5.2,C,0
K.J. Hymes,Nevada,MWC,20,35.2,111.5,20.4,61.3,61.21,10.5,14.3,3.1,15.7,47,81,0.58,38,61,0.623,0,1,0,7.4,0.8,130.6,Sr,6-10,42,1.26305,112.545,6.7,2024,65575,"Phoenix, AZ",37.4,0.27779723,26,40,10,19,0.65,0.5263,12,12,1,,97.9223,95.5144,1.9119,59.2879,2.00588,-0.604619,2.6105,0.81403,15.2857,-1.11701,1.93104,1.3333,2.0476,3.381,0.2381,0.2381,0.9048,6.5238,C,0.188818
