Player,Team,Conference,GP,MPG,ORtg,USG,eFG%,TS%,ORB%,DRB%,AST%,TO%,FTM,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,BLK%,STL%,FTR,Class,Height,Number,PORPAG,Adj_O_Eff,Foul_rate,Year,ID,Hometown,Recruiting_Rank,A_TO_Rate,Rim_Made,Rim_Missed,Mid_Made,Mid_Missed,Rim%,Mid%,Dunks,Dunks_Attempts,Dunk%,Draft_Spot,DRTG,Adj_DRTG,D_PORPAG,stops,BPM,O_BPM,D_BPM,G_BPM,MPG,OG_BPM,DG_BPM,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,PTS_PG,Position_Advanced,3PT/100
Dom Martinelli,St. Thomas,Sum,12,9.3,76.5,19.7,31.6,39.77,6.6,6.6,4.7,24.5,5,5,1,3,11,0.273,2,8,0.25,0,0.8,26.3,Sr,6-4,32,-0.319662,75.0682,1.5,2024,72796,"Glenview, IL",,1.42854087,3,10,0,1,0.3,0,0,0,,,107.907,110.197,0.476638,10.0229,-9.41991,-6.76085,-2.65906,-8.79098,8.8,-5.51005,-3.28093,0.5333,0.6,1.1333,0.6667,0.0667,0,2.4667,Wing G,6.45653
Ty Berry,Northwestern,B10,22,75,116.3,17.8,59.4,62.43,2.3,15,8.2,13.3,34,38,0.895,34,68,0.5,53,123,0.431,0,2.8,19.9,Sr,6-3,3,2.80973,116.052,2.8,2024,72798,"Newton, KS",72.8,1.15383314,22,40,12,28,0.55,0.4286,3,3,1,,105.275,100.792,3.15102,116.091,3.92627,3.65797,0.268298,4.0007,30.6818,3.1668,0.833904,0.5455,3.5455,4.0909,1.3636,1.4091,0,11.8636,Wing G,11.2161
Cam'Ron Fletcher,Florida St.,ACC,7,12.3,85.9,27.7,43.9,44.91,9,27.1,12.6,21.6,4,7,0.571,14,32,0.438,5,17,0.294,4.3,4,14.3,Sr,6-7,21,0.394704,96.4967,4.8,2024,72799,"St. Louis, MO",87.8,0.58332846,13,25,1,7,0.52,0.1429,3,4,0.75,,91.997,87.5368,2.3105,29.4439,1.52748,-2.78646,4.31394,0.830463,15.5714,-1.51959,2.35005,1.2857,3.7143,5,1,1.1429,0.5714,6.7143,Stretch 4,8.47089
Kentrell Garnett,Louisiana Lafayette,SB,21,79.4,121.7,12.4,60.1,60.92,0.7,6.3,7.8,12.5,17,25,0.68,25,46,0.543,43,103,0.417,0,2.3,16.8,Jr,6-1,22,1.97803,107.009,2.5,2024,72803,"Donaldsonville, LA",,1.77779196,16,27,9,19,0.5926,0.4737,0,0,,,106.919,106.681,2.6871,99.718,2.30365,2.10213,0.201521,1.08564,31.3913,0.102053,0.983584,0.1739,1.6522,1.8261,1.3913,1.2174,0.0435,9.6087,Combo G,8.8595
Judah Brown,South Alabama,SB,11,32,92.2,14,44.7,44.72,4.3,9.8,0.7,9.4,3,7,0.429,10,24,0.417,13,42,0.31,2.4,1.8,10.6,Sr,6-6,25,-0.347053,84.7191,4,2024,72804,"Bermuda Dunes, CA",34.2,0.33340001,8,16,2,8,0.5,0.25,0,0,,,110.74,110.947,1.60764,43.1613,-3.30293,-1.88783,-1.4151,-3.74633,24.9167,-2.52331,-1.22302,0.8333,2.1667,3,0.1667,0.6667,0.6667,6.9167,Wing F,9.19674
Nate Heise,Northern Iowa,MVC,22,82.9,112.5,20.8,54.1,58.15,2.6,19.8,15.3,13.2,61,79,0.772,65,122,0.533,35,95,0.368,2.2,1.5,36.4,Jr,6-5,0,3.02761,115.367,1.9,2024,72805,"Lake City, MN",,1.68574624,48,82,17,40,0.5854,0.425,15,15,1,,105.536,102.895,3.24182,135.925,4.33201,2.38207,1.94994,4.46174,33.1739,3.48121,0.980536,0.6957,5.3913,6.087,2.5652,0.8696,0.6087,13.4348,Wing G,7.63519
Justin Hill,Georgia,SEC,22,59.9,99.7,22.8,44,46.83,1,7.4,29.9,14.9,42,72,0.583,45,107,0.421,21,67,0.313,0,1.4,41.4,Sr,6-0,11,1.41645,106.102,1.7,2024,72809,"Houston, TX",,2.5313166,23,61,22,46,0.377,0.4783,1,1,1,,108.435,103.463,2.29405,77.7233,-0.352505,1.15798,-1.51049,0.0816431,24.0909,0.679319,-0.597676,0.2273,1.6818,1.9091,3.6818,0.5909,0,8.8636,Pure PG,7.07336
Chaunce Jenkins,Old Dominion,SB,21,75.3,98.7,27.6,46,50.7,2.5,11,17.4,15.2,75,102,0.735,78,182,0.429,33,95,0.347,3.3,1.6,36.8,Jr,6-4,2,1.86225,106.084,3.1,2024,72810,"Newport News, VA",13.8,1.11319573,46,87,32,95,0.5287,0.3368,6,7,0.8571,,111.142,110.6,2.23843,111.155,-1.8987,-0.678343,-1.22036,-0.522265,31.4545,0.89869,-1.42095,0.7273,3.0909,3.8182,2.6818,0.9091,0.8182,15.7273,Combo G,7.9677
Brandon Stroud,South Florida,Amer,19,47.5,109.6,16,55.7,54.38,10.6,19.9,12.3,17.2,25,52,0.481,27,43,0.628,8,27,0.296,1.4,2.8,74.3,Sr,6-6,5,1.06494,103.676,4.8,2024,72814,"Atlanta, GA",51,1.42110002,24,35,2,5,0.6857,0.4,3,3,1,,95.6048,96.5281,2.51644,88.3861,3.61846,1.32165,2.29681,1.6123,21,-0.204597,1.8169,2,3.8421,5.8421,1.4211,1,0.2632,5.4211,Wing F,3.90367
Gage Gomez,UC Santa Barbara,BW,3,0.9,62,16.7,0,0,19.3,0,21.7,0,0,0,0,0,1,0,0,1,0,0,0,0,Sr,6-3,8,-0.270441,55.6598,0,2024,72815,"Arroya Grande, CA",,6.00000015,0,1,0,0,0,,0,0,,,112.635,116.22,0.120164,0.728538,-9.35521,-4.27894,-5.07627,-15.5498,7.6,-7.11226,-8.43754,0.2,0.8,1,1.2,0,0,2.2,PF/C,8.40458
Niko Rocak,UC Davis,BW,20,51.9,103.8,17,52.4,52.21,14.5,15.3,9.2,19.7,20,41,0.488,42,74,0.568,1,9,0.111,9.1,2.8,49.4,Jr,6-9,20,0.654562,98.1562,5.4,2024,72819,"Geneva, Switzerland",,0.70365842,41,61,1,13,0.6721,0.0769,10,10,1,,93.9373,95.6853,2.54603,94.5389,5.66641,-0.619809,6.28622,1.24045,20.5455,-1.74444,2.98489,2.5455,2.7727,5.3182,0.8636,0.9545,1.5909,5.4545,C,1.25556
John Hugley IV,Oklahoma,B12,23,44.7,114.5,22.4,60,64.49,5.9,18.5,13.1,21.1,50,64,0.781,54,88,0.614,12,32,0.375,1.1,1,53.3,Jr,6-10,1,2.01477,121.554,5.1,2024,72821,"Cleveland, OH",82.6,0.82351348,43,60,9,25,0.7167,0.36,5,6,0.8333,,96.874,94.8648,2.24445,75.9149,3.57093,1.78327,1.78766,4.09959,17.8696,1.76902,2.33057,0.8696,2.9565,3.8261,1.2174,0.3043,0.1739,8.4348,Stretch 4,4.45193
Noah Collier,William & Mary,CAA,3,8.4,117.2,24,65.4,62.45,11.1,15.5,8.1,10.4,5,11,0.455,17,26,0.654,0,0,0,3.2,0,42.3,Jr,6-8,5,2.13159,116.099,5.6,2024,72823,"Mullica Hill, NJ",38.8,0.66670001,13,21,4,5,0.619,0.8,0,0,,,114.932,118.974,0.952927,10.798,-3.39167,-0.00190305,-3.38977,0.331797,23.6667,2.206,-1.8742,2.3333,3,5.3333,0.6667,0,0.6667,13,C,0
Femi Odukale,New Mexico St.,CUSA,15,54.2,96.7,26.8,47.3,50.83,6.2,20.8,22.3,18.1,56,97,0.577,51,109,0.468,7,21,0.333,2.4,2.7,74.6,Sr,6-6,11,1.64245,106.248,4.4,2024,72824,"Brooklyn, NY",65.4,1.07144017,42,78,9,31,0.5385,0.2903,9,9,1,,101.803,102.832,2.6978,91.4718,3.41975,0.339513,3.08024,3.02772,26.3529,1.28588,1.74184,1.4706,4.7059,6.1765,2.6471,1.2941,0.5294,11,Wing G,2.90513
JaDun Michael,Elon,CAA,6,5.8,87.2,8.5,20,36.23,2.4,21.3,6.8,14.1,3,4,0.75,1,4,0.25,0,1,0,0,0,80,Sr,6-5,2,-0.441932,73.4665,5.7,2024,72826,"Burlington, NC",56,3,1,1,0,3,1,0,1,1,1,,115.323,110.981,0.569033,7.56392,-8.92638,-5.53719,-3.38919,-8.00895,8.5,-5.91744,-2.0915,0.625,1.375,2,0.375,0.25,0,1.125,PF/C,1.20537
Colin Granger,Western Carolina,SC,19,23.8,115.6,12.2,57.1,58.87,14.4,10,0,19.9,6,9,0.667,16,27,0.593,0,1,0,2,0.9,32.1,Jr,6-9,32,0.418823,101.1,7.7,2024,72827,"John's Creek, GA",,0.07700118,12,20,4,7,0.6,0.5714,0,0,,,104.59,104.932,0.909059,31.9049,-4.07468,-1.97063,-2.10405,-3.93751,10.5,-3.6091,-0.328401,1.3182,1.2273,2.5455,0.0455,0.1818,0.2727,2.3636,C,0.304275
Jalin Anderson,Ball St.,MAC,21,91.3,105.8,24.6,52.3,55.81,1.6,14.2,26.9,19.8,62,83,0.747,78,154,0.506,38,104,0.365,0.3,2.8,32.2,Jr,6-3,1,2.37255,107.785,2.8,2024,72830,"Jackson, TN",,1.55383745,32,65,40,81,0.4923,0.4938,2,2,1,,106.112,108.554,2.852,143.271,0.413768,1.26056,-0.846793,-0.00830781,35.6957,0.341719,-0.350027,0.4348,4.3043,4.7391,4.3913,1.7391,0.087,15.7391,Scoring PG,7.94005
Christian Shumate,McNeese St.,Slnd,19,80.5,111.6,21.5,55.1,53.59,13,22.1,5.7,10.5,42,93,0.452,85,150,0.567,8,26,0.308,7.2,1.9,52.8,Jr,6-6,24,2.50536,111.477,3.1,2024,72832,"Chicago, IL",,0.75858512,77,122,8,28,0.6311,0.2857,26,28,0.9286,,95.0433,97.5524,3.74531,132.351,2.80473,0.27151,2.53322,1.20429,29.6957,1.58838,-0.384092,3.3913,6,9.3913,0.9565,1.0435,1.4348,12.2174,PF/C,2.55446
Ari Seals,Tulsa,Amer,7,2.3,113.2,6.1,0,105.26,0,11.1,8.4,47.4,2,2,1,0,0,0,0,0,0,0,0,0,Sr,6-3,23,-0.0189897,87.0452,2.1,2024,72834,"Frisco, TX",,2,0,0,0,0,,,0,0,,,108.215,111.198,0.187081,2.61524,-5.04014,-4.06881,-0.971326,-8.93445,4.125,-6.08132,-2.85313,0.125,0.375,0.5,0.25,0,0.125,0.5,PF/C,0
Woody Newton,George Mason,A10,21,43.5,93.7,19.4,46.6,48.12,5.6,16.7,3.6,17.1,21,39,0.538,19,47,0.404,19,55,0.345,4.5,1.8,38.2,Sr,6-9,2,0.214139,92.6119,3.7,2024,72836,"District Heights, MD",73.6,0.36359999,15,31,4,16,0.4839,0.25,6,7,0.8571,,99.5766,97.9847,1.99492,72.6109,-0.931777,-2.37533,1.44356,-0.653589,17.9545,-1.69156,1.03798,0.7727,2.8182,3.5909,0.3636,0.5455,0.8636,5.6364,Stretch 4,9.11457
Sam Mervis,Southern Indiana,OVC,19,32.8,62.2,10.6,20,23.58,2.5,9.5,26.5,45,3,7,0.429,4,18,0.222,0,2,0,0,1.7,35,Jr,5-11,13,-1.74912,52.545,2.1,2024,72838,"Indianapolis, IN",,1.76925024,3,13,1,5,0.2308,0.2,0,0,,,109.368,110.889,0.966235,41.2252,-8.85137,-7.34715,-1.50422,-7.86051,14.8182,-6.78676,-1.07374,0.2727,1.5,1.7727,2.0909,0.5909,0.0455,1.0455,Pure PG,0.433199
Jace Howard,Michigan,B10,5,5.4,107.9,13.9,33.3,39.57,5,11.4,10.2,0,3,4,0.75,1,4,0.25,2,8,0.25,0,1.2,33.3,Jr,6-8,25,0.554879,105.718,5,2024,72842,"Miami, FL",24.8,,0,0,1,4,,0.25,0,0,,,113.627,100.191,1.02834,7.47765,-0.115787,1.6122,-1.72799,-2.13633,9.6,-1.77214,-0.364196,0.4,1,1.4,0.6,0.2,0,2.2,Wing F,9.58267
Max Burchill,South Dakota,Sum,21,67.4,101.6,14.9,53.1,59.29,5,8,11.2,28.7,37,44,0.841,19,50,0.38,22,48,0.458,0.3,1.4,44.9,Jr,6-4,3,0.278711,92.042,4,2024,72843,"Sioux Falls, SD",,0.93478374,13,29,6,21,0.4483,0.2857,0,0,,,115.862,118.108,1.21126,89.2681,-1.79472,-0.682887,-1.11183,-4.35005,26.4167,-2.90918,-1.44087,1.4583,2.2083,3.6667,1.7917,0.6667,0.1667,6.5417,Combo G,4.76623
Taj Thweatt,Temple,Amer,8,5.1,80.4,17.8,16.7,25.18,20.3,8.1,0,7.5,3,4,0.75,2,8,0.25,0,4,0,5.2,0,33.3,Jr,6-7,10,-0.17205,79.483,9.1,2024,72845,"Wildwood, NJ",29.8,0,2,8,0,0,0.25,,0,0,,,110.72,108.682,0.401993,6.17359,-11.7,-6.86007,-4.83998,-12.5055,5.6667,-7.81323,-4.69231,1,0.5556,1.5556,0,0,0.2222,0.7778,PF/C,5.30981
Josiah Fulcher,North Alabama,ASun,21,46.2,81.4,16.5,40,43.14,3.7,15.4,4.9,21.2,20,35,0.571,27,60,0.45,6,30,0.2,0.5,1.5,38.9,Jr,6-4,2,-0.882027,75.2956,3.5,2024,72847,"Lima, OH",30.6,0.46426811,17,37,10,23,0.4595,0.4348,1,2,0.5,,109.583,110.612,1.31028,66.8912,-6.43037,-4.7054,-1.72496,-6.8011,18.7826,-5.21858,-1.58252,0.7391,2.4783,3.2174,0.5652,0.4783,0.1304,4.913,Wing G,4.35197
Max Williams,Illinois,B10,7,1.2,0,16.5,0,0,0,9.2,0,62.3,0,0,0,0,1,0,0,1,0,0,0,0,Sr,6-2,25,-0.486933,-0.237428,0,2024,72851,"Chicago, IL",,0,0,0,0,1,,0,0,0,,,105.004,108.109,0.125158,1.48195,-15.5527,-14.4322,-1.12045,-21.5013,1.5714,-15.5135,-5.98788,0,0.1429,0.1429,0,0,0,0,PF/C,5.29984
William Jeffress,Pittsburgh,ACC,22,32.2,104.9,11,43.2,46.4,8.7,13,4.1,15.1,9,14,0.643,13,29,0.448,4,15,0.267,2.5,3.1,31.8,Jr,6-7,24,0.170617,92.8837,3.8,2024,72859,"Erie, PA",77.4,0.87513753,10,14,3,15,0.7143,0.2,5,6,0.8333,,97.1628,94.9469,1.61203,56.2267,1.49849,-1.10417,2.60265,0.434507,12.8636,-2.24146,2.67597,1.0455,1.4545,2.5,0.3182,0.6818,0.2727,2.1364,Wing F,3.10254
Mawot Mag,Rutgers,B10,14,44.5,92.6,20.3,42.6,46.2,5,9.7,10.4,16.5,25,36,0.694,40,89,0.449,10,40,0.25,1.8,2.3,27.9,Sr,6-7,3,0.779279,97.1125,2.7,2024,72860,"Melbourne, Australia",61.2,0.82603933,15,33,19,48,0.4545,0.3958,3,3,1,,95.6854,90.4338,3.9324,72.6117,1.44855,-1.73398,3.18253,1.62177,28.1429,-1.50683,3.12861,1.4286,2.5,3.9286,1.3571,1.1429,0.4286,9.6429,Wing G,5.81843
Kobe Elvis,Dayton,A10,22,70,109.2,21.9,45.5,50.77,1.7,8.2,25,14.3,44,50,0.88,39,104,0.375,31,84,0.369,0.2,1.2,26.6,Jr,6-2,24,2.56443,115.455,2.1,2024,72862,"Brampton, ON",58.4,2.58065421,18,41,16,55,0.439,0.2909,0,0,,,106.017,103.208,2.70627,86.1168,0.506664,1.97254,-1.46587,-0.0216812,28,0.635938,-0.657619,0.3636,2.1364,2.5,3.6364,0.5455,0.0455,9.7727,Scoring PG,8.49364
Jason Spurgin,Bowling Green,MAC,21,77.7,109.1,18.5,57.4,59.25,5.8,15.2,9.2,19.3,35,50,0.7,63,110,0.573,28,73,0.384,3.6,1.1,27.3,Sr,7-0,7,1.51593,103.122,3.2,2024,72867,"Toowoomba, Australia",,0.74997607,50,83,9,21,0.6024,0.4286,8,8,1,,103.502,106.105,2.69062,122.801,1.08375,0.174987,0.908765,0.846602,31.3043,0.665913,0.180689,1.6957,4.3043,6,1.5652,0.7826,1.1304,11.5217,Stretch 4,6.23193
Chuck Harris,SMU,Amer,21,75.5,114.4,21.4,52.2,55.29,1.8,9.7,21.5,16.5,37,44,0.841,52,120,0.433,44,106,0.415,1,1.9,19.5,Sr,6-4,3,3.05256,118.2,2.5,2024,72869,"Ashburn, VA",69.8,1.80949131,33,59,19,61,0.5593,0.3115,0,0,,,98.8094,98.0047,3.46304,100.9,3.51197,2.92942,0.58255,4.819,30.0909,3.30479,1.51421,0.4545,2.8182,3.2727,3.4545,1.0455,0.2727,13.1364,Scoring PG,9.82321
Boubacar Coulibaly,Pepperdine,WCC,10,24.1,111.1,19.1,59,58.47,10.5,15.4,3.9,14.3,11,21,0.524,36,61,0.59,0,0,0,8,2.5,34.4,Jr,6-10,12,1.48698,109.275,3.4,2024,72873,"Bamako, Mali",57,0.54549998,25,36,11,25,0.6944,0.44,7,8,0.875,,104.711,104.057,1.98656,45.7509,2.26315,-0.309188,2.57234,2.71392,21.8182,1.29447,1.41945,2.1818,3.2727,5.4545,0.5455,0.9091,1.7273,8.5455,C,0
Kyndall Davis,Eastern Illinois,OVC,19,61.3,87.9,23.7,40.2,41.77,4.1,11.7,15.1,11.9,18,31,0.581,50,126,0.397,16,58,0.276,3,3.2,16.8,Jr,6-5,10,0.115875,90.4229,3.3,2024,72875,"Chicago, IL",,1.47994482,41,72,9,54,0.5694,0.1667,8,8,1,,104.313,106.983,2.04919,87.9999,-2.03094,-2.35425,0.323315,-1.89227,23,-1.77487,-0.117398,0.8261,2,2.8261,1.6087,1.2609,0.6957,8.5217,Wing G,7.46952
Creighton Lebo,North Carolina,ACC,5,1.5,0,10.3,0,0,0,22.3,0,0,0,0,0,0,2,0,0,2,0,0,3.9,0,Sr,6-1,14,-0.882226,-1.74003,5.7,2024,72879,"Greenville, NC",,,0,2,0,0,0,,0,0,,,90.5672,92.8411,0.371348,3.55626,-7.58878,-8.66249,1.07371,-14.3853,2.8,-15.6368,1.2515,0,0.6,0.6,0,0.2,0,0,Wing G,7.97543
Weston Church,Oklahoma St.,B12,4,0.5,40,20,33.3,25.32,24,0,0,37,0,2,0,1,2,0.5,0,1,0,0,11.7,66.7,Sr,6-3,35,-0.221778,37.931,0,2024,72885,"Fairview, OK",,0,0,1,1,1,0,1,0,0,,,86.9995,92.112,0.168943,1.50323,0.189962,-4.70695,4.89692,-23.1017,1.25,-17.8223,-5.27933,0.25,0,0.25,0,0.25,0,0.5,Scoring PG,12.5868
Carson Sager,Oklahoma St.,B12,5,0.6,11.6,49,0,0,20,0,0,19.9,0,2,0,0,2,0,0,2,0,0,0,50,Sr,6-4,15,-0.442146,-17.1217,13.3,2024,72886,"Wichita Falls, TX",,0,0,2,0,0,0,,0,0,,,111.386,117.709,0.0555996,0.660215,-45.166,-31.3518,-13.8142,-56.5466,1.2,-37.8145,-18.7321,0.2,0,0.2,0,0,0,0,PF/C,20.9779
Bryce Pope,UC San Diego,BW,21,89.8,110.5,26.6,49.6,53.49,2.5,9.8,11,8.1,68,81,0.84,90,187,0.481,53,155,0.342,0.3,1.8,23.7,Sr,6-3,4,3.66278,118.44,1.2,2024,72888,"San Diego, CA",,1.48275044,48,82,42,105,0.5854,0.4,1,1,1,,105.321,107.061,2.99222,117.561,1.10917,3.07922,-1.97005,2.32298,34.913,3.46563,-1.14265,0.8261,3.1304,3.9565,1.8696,1.0435,0.1739,18.913,Combo G,12.3485
Brandon Noel,Wright St.,Horz,22,84.6,122,18.3,61.5,64.46,5.9,20.1,8.4,14.9,59,76,0.776,94,155,0.606,23,54,0.426,2.5,1.2,36.4,So,6-8,14,3.27668,116.955,2.8,2024,72891,"Lucasville, OH",,1.05259654,82,123,12,32,0.6667,0.375,19,21,0.9048,,112.821,113.299,2.08659,141.387,2.17135,3.04191,-0.870565,1.64987,33.5217,2.99691,-1.34705,1.5652,5.8696,7.4348,1.7391,0.6957,0.8261,14.2609,Wing F,3.98093
Elijah Wood,Saint Peter's,MAAC,18,16.7,112.7,13.6,56.9,56.76,5.2,13.1,10.6,17.6,1,2,0.5,3,6,0.5,9,23,0.391,1,3.4,6.9,Jr,6-6,10,0.287362,100.788,5.6,2024,72892,"Silver Springs, MD",18,1.19978402,3,4,0,2,0.75,0,0,0,,,95.4039,98.6781,0.793563,24.3365,2.14426,0.127556,2.01671,1.9584,7.1111,-0.619083,2.57749,0.3333,0.7222,1.0556,0.3333,0.3889,0.0556,1.8889,Wing G,11.0469
Alex Huibregtse,Wright St.,Horz,22,79.2,118.6,16.1,59.3,61.82,1.1,11.9,14.2,16.2,29,34,0.853,60,93,0.645,32,89,0.36,0.7,1.3,18.7,Jr,6-3,3,2.31239,110.094,3.1,2024,72893,"Grafton, WI",,2.08333333,24,34,36,59,0.7059,0.6102,0,0,,,116.374,116.866,1.56062,112.053,0.710029,2.95666,-2.24663,-0.407875,31.7083,1.31096,-1.71883,0.25,3.7083,3.9583,3.125,0.75,0.25,10.9167,Combo G,7.00851
Eduardo Andre,Fresno St.,MWC,19,48.3,87.8,19.4,59.8,56.21,6.9,18.1,6,28.6,18,46,0.391,55,91,0.604,0,1,0,4.2,1.8,50,Sr,6-11,35,-0.118418,87.5435,4.7,2024,72894,"Luanda, England",60,0.30952381,48,73,7,18,0.6575,0.3889,13,15,0.8667,,105.007,103.413,2.14471,83.4936,-2.05482,-4.31471,2.25988,-2.99911,22.95,-4.05098,1.05187,1.2,3.75,4.95,0.65,0.75,1.05,7.25,C,0.139052
Dain Dainja,Illinois,B10,22,23.8,120.8,25.2,66.7,63.11,16.6,19.1,6.4,13.8,10,27,0.37,58,87,0.667,0,0,0,4.5,0.8,31,Jr,6-9,42,1.49423,134.255,3.6,2024,72895,"Brooklyn Park, MN",84,0.46149942,49,64,9,23,0.7656,0.3913,8,11,0.7273,,95.7261,92.5042,1.27479,44.5128,5.88369,4.45943,1.42426,8.05868,9.6364,5.91423,2.14445,1.4545,1.8182,3.2727,0.2727,0.1364,0.5,5.7273,C,0
Noble Crawford,Chicago St.,ind,24,59.8,102.3,17,53.5,57.4,6.6,16.5,8.8,24,39,53,0.736,39,76,0.513,20,53,0.377,3.6,4.5,41.1,Jr,6-5,15,0.728809,97.4923,3.5,2024,72896,"Deltona, FL",,0.75554658,32,59,7,18,0.5424,0.3889,15,19,0.7895,,98.7347,100.616,2.63182,132.435,3.33378,-0.376139,3.70992,2.14535,24.8077,-0.322275,2.46762,1.4615,3.2692,4.7308,1.3077,2.0385,0.8462,7.8462,Wing G,5.28263
Lu'Cye Patterson,Charlotte,Amer,21,80.7,108.2,25,47.5,52.16,3.2,10.7,18.2,10,71,98,0.724,77,163,0.472,25,78,0.321,0.7,2.2,40.7,Jr,6-2,25,3.06045,116.382,3.4,2024,72897,"Minneapolis, MN",,2.14812995,32,67,41,89,0.4776,0.4607,0,0,,,104.057,102.116,3.24246,108.151,2.77753,2.77481,0.00271686,2.73929,32.5455,1.86606,0.873223,0.7727,2.8636,3.6364,2.6364,1.1364,0.2273,14.1364,Combo G,7.23836
Nelly Junior Joseph,New Mexico,MWC,22,63.6,110.3,18.1,54.4,55.9,11,19.9,6.7,16.5,46,79,0.582,74,136,0.544,0,0,0,5.9,2.3,58.1,Sr,6-10,23,1.79127,109.341,4.5,2024,72898,"Benin City, Nigeria",,0.78784494,62,107,10,25,0.5794,0.4,10,12,0.8333,,92.5121,90.4168,3.59002,130.317,6.31976,0.994553,5.3252,3.96834,25.3478,0.894357,3.07399,2.6522,4.9565,7.6087,1.1304,1.2174,1.4783,9,C,0
L.J. Cryer,Houston,B12,23,78.8,121.9,21.6,50.6,52.96,2.3,6.9,12.9,6.7,34,39,0.872,55,131,0.42,68,179,0.38,0.4,2.3,12.6,Sr,6-1,4,4.40515,129.332,2,2024,72899,"Katy, TX",82.4,2.76484915,13,24,40,100,0.5417,0.4,0,0,,,90.768,87.4617,4.76934,109.267,6.91158,5.38651,1.52507,8.58054,31.6957,5.37972,3.20082,0.6957,1.8696,2.5652,2.0435,1.1739,0.087,15.1304,Combo G,15.2584
Zach Loveday,Samford,SC,15,9.3,104.8,17.6,66.7,63.78,10.3,20.8,8.8,27.4,0,2,0,14,19,0.737,0,2,0,14.4,0,9.5,Sr,7-0,32,0.192614,99.736,8.7,2024,72906,"Gallipolis, OH",71.2,0.66660371,12,15,2,4,0.8,0.5,2,2,1,,98.2989,101,0.542426,17.6917,4.15364,-2.04939,6.20302,-1.36339,6.2941,-3.32919,1.9658,0.6471,0.9412,1.5882,0.3529,0.0588,0.6471,2.7647,C,1.37157
Xavier Lipscomb,Mount St. Mary's,MAAC,2,5.4,107.4,16.3,55.6,55.56,7.7,14.9,28.7,29.8,0,0,0,2,4,0.5,2,5,0.4,0,2.4,0,Sr,6-2,45,1.43823,106.331,2.5,2024,72907,"Washington, DC",,2,0,2,2,2,0,1,0,0,,,101.284,114.146,1.40873,8.62584,-0.361034,0.311844,-0.672878,2.70565,24,1.41143,1.29422,1.5,3,4.5,4,1,0,5,Pure PG,6.0327
Dave Dickerson III,USC Upstate,BSth,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-6,23,-0.667471,-7.11602,0,2024,72908,"Inman, SC",,0,,,,,,,,,,,123.246,114.793,0.112902,0.156421,-6.82878,-4.05196,-2.77681,-12.4416,2.75,-6.17138,-6.27022,0.25,0.75,1,0,0.25,0,0,PF/C,0
Bobby Harvey,Portland St.,BSky,20,62.8,108.9,17.3,51.2,52.53,2,9.4,7.5,8,13,17,0.765,17,40,0.425,46,128,0.359,0.6,2,10.1,Sr,6-4,2,1.18331,102.567,2.4,2024,72909,"Chicago, IL",,1.46149942,10,18,7,22,0.5556,0.3182,0,1,0,,107.399,108.386,1.97585,81.8131,0.34273,1.32999,-0.987259,0.604934,24.2273,0.780106,-0.175172,0.4545,1.9091,2.3636,0.8636,0.7727,0.1818,9.1364,Wing G,14.7129
Dawson Baker,BYU,B12,4,4.7,119.3,22.1,62.5,62.5,2.7,5.2,26.7,19,0,0,0,7,12,0.583,2,4,0.5,0,4.2,0,Jr,6-4,25,1.14278,121.191,2.9,2024,72910,"Coto De Caza, CA",,2,3,4,4,8,0.75,0.5,0,0,,,94.9978,94.7537,1.29137,8.20225,4.3137,3.26991,1.04379,3.87681,10.25,1.5168,2.36001,0.25,0.5,0.75,1.5,0.75,0,5,Pure PG,5.53207
Sam Towns,Bowling Green,MAC,10,24.9,105.4,16.1,54.3,56.83,8.8,19.5,4.3,19.9,12,18,0.667,25,45,0.556,0,1,0,2.8,1.9,39.1,Sr,6-9,14,0.558161,96.7658,4.7,2024,72912,"Columbus, OH",,0.41666665,18,30,7,15,0.6,0.4667,2,2,1,,100.646,102.334,2.08123,44.1839,-2.02091,-2.58405,0.563138,-0.658978,21.4,-2.00727,1.3483,1.7,3.7,5.4,0.5,0.7,0.6,6.2,C,0.266392
DeMarcus Sharp,Austin Peay,ASun,20,89.4,98.3,30.6,43.3,46,2.7,18,28.6,13.3,50,70,0.714,153,345,0.443,1,12,0.083,2.7,3.6,19.6,Sr,6-3,0,2.56868,108.561,2.4,2024,72913,"Charleston, MO",,2.16003515,30,63,123,282,0.4762,0.4362,0,0,,,103.854,104.656,3.47837,151.917,1.14852,-0.543731,1.69225,2.66999,37.6957,1.47749,1.19249,0.913,6,6.913,4.6957,2.2174,0.8696,17.4348,Scoring PG,0.976524
Raphe Ayres,Missouri St.,MVC,21,36.8,129.8,7.5,64.5,66.99,3.7,16.2,6,15.9,7,8,0.875,2,3,0.667,15,35,0.429,0,1.3,21.1,Jr,6-5,11,1.08117,108.31,3.1,2024,72916,"Arlington, VA",14.4,1.71437143,2,2,0,1,1,0,0,0,,,102.075,102.069,1.62846,61.7839,1.73835,0.472387,1.26596,0.616052,16.4762,-1.32403,1.94009,0.5238,2.5238,3.0476,0.5714,0.381,0,2.6667,Wing G,5.94353
